hash,tv_show_name,season,episode,status,magnet_link,published_timestamp,summary,resolution,video_codec,upload_type,audio_codec,raw_title,feed_id,tv_show_id,tv_episode_id,tv_external_id
52612e49d776f211b2a7ed03dae2050414ffabed,Saturday Night Live,50,1,downloading,magnet:?xt=urn:btih:52612E49D776F211B2A7ED03DAE2050414FFABED&dn=Saturday+Night+Live+S50E01+Jean+Smart+1080p+WEB+h264+EDITH&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Sun, 29 Sep 2024 11:20:08 +0000",New episode: Saturday Night Live S50E01 Jean Smart 1080p WEB h264 EDITH,1080p,h264,WEB,,Saturday Night Live S50E01 Jean Smart 1080p WEB h264 EDITH,07de2c8a746afa7ed55be803742067590927d6cb,145,204430,361
002a94a1962f0273aea75bed9bf3f71cf1b80cb2,Bad Monkey,1,8,downloading,magnet:?xt=urn:btih:002A94A1962F0273AEA75BED9BF3F71CF1B80CB2&dn=Bad+Monkey+S01E08+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 25 Sep 2024 02:20:07 +0000",New episode: Bad Monkey S01E08 1080p WEB H264 SuccessfulCrab,1080p,H264,WEB,,Bad Monkey S01E08 1080p WEB H264 SuccessfulCrab,a5a894035059b0c64698b37d1ce7095df83bc557,1799,204320,56778
49803e4b13b0ca7f929927b7d96b6dd74991e77c,Last Week Tonight With John Oliver,11,23,downloading,magnet:?xt=urn:btih:49803E4B13B0CA7F929927B7D96B6DD74991E77C&dn=Last+Week+Tonight+with+John+Oliver+S11E23+1080p+WEB+H264+Success&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Mon, 23 Sep 2024 04:20:06 +0000",New episode: Last Week Tonight with John Oliver S11E23 1080p WEB H264 Success,1080p,H264,WEB,,Last Week Tonight with John Oliver S11E23 1080p WEB H264 Success,c478666fc629354c44bbf928a7ba7d8a44661494,45,204223,263
c43a88269f21a252814653f920b66e284ec85efb,Bad Monkey,1,7,downloading,magnet:?xt=urn:btih:C43A88269F21A252814653F920B66E284EC85EFB&dn=Bad+Monkey+S01E07+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 18 Sep 2024 02:20:06 +0000",New episode: Bad Monkey S01E07 1080p WEB H264 SuccessfulCrab,1080p,H264,WEB,,Bad Monkey S01E07 1080p WEB H264 SuccessfulCrab,02c0ff4e434e859de1810464a066d858b73ecb49,1799,204096,56778
0c33e4800d3a4cc4c034fa012f7ac39eb1ebfe7c,Bad Monkey,1,6,downloading,magnet:?xt=urn:btih:0C33E4800D3A4CC4C034FA012F7AC39EB1EBFE7C&dn=Bad+Monkey+S01E06+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 11 Sep 2024 02:20:06 +0000",New episode: Bad Monkey S01E06 1080p WEB H264 SuccessfulCrab,1080p,H264,WEB,,Bad Monkey S01E06 1080p WEB H264 SuccessfulCrab,901351c668fa7ba03a93b5dae52465cd684b42cf,1799,203971,56778
380d59aca7b172f1aa28d1cfdd91c20c6b7aab8c,Last Week Tonight With John Oliver,11,22,downloading,magnet:?xt=urn:btih:380D59ACA7B172F1AA28D1CFDD91C20C6B7AAB8C&dn=Last+Week+Tonight+with+John+Oliver+S11E22+1080p+WEB+H264+Success&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Mon, 09 Sep 2024 04:25:04 +0000",New episode: Last Week Tonight with John Oliver S11E22 1080p WEB H264 Success,1080p,H264,WEB,,Last Week Tonight with John Oliver S11E22 1080p WEB H264 Success,6932b67d4d44bb3e4a9d1d76838d375cc94e3610,45,203947,263
2f23aee13f44d12a17b544abf4c593e932e7ec93,Bad Monkey,1,4,downloading,magnet:?xt=urn:btih:2F23AEE13F44D12A17B544ABF4C593E932E7EC93&dn=Bad+Monkey+S01E04+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Fri, 30 Aug 2024 10:55:04 +0000",New episode: Bad Monkey S01E04 1080p WEB H264 SuccessfulCrab,1080p,H264,WEB,,Bad Monkey S01E04 1080p WEB H264 SuccessfulCrab,9033216f90b3949d973b09a5b650033a45d604b8,1799,203845,56778
bbe1a3f9b60c3c9c8a03f2e1fe8e1db4de309999,Bad Monkey,1,3,downloading,magnet:?xt=urn:btih:BBE1A3F9B60C3C9C8A03F2E1FE8E1DB4DE309999&dn=Bad+Monkey+S01E03+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Fri, 30 Aug 2024 10:55:02 +0000",New episode: Bad Monkey S01E03 1080p WEB H264 SuccessfulCrab,1080p,H264,WEB,,Bad Monkey S01E03 1080p WEB H264 SuccessfulCrab,8dbd7ef1d52037820577ae9356e7209a1430597d,1799,203841,56778
7315918c1f1b11378f99d69fe06615fd227f6441,Sunny,1,9,downloading,magnet:?xt=urn:btih:7315918C1F1B11378F99D69FE06615FD227F6441&dn=Sunny+S01E09+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 28 Aug 2024 02:40:06 +0000",New episode: Sunny S01E09 1080p WEB H264 SuccessfulCrab,1080p,H264,WEB,,Sunny S01E09 1080p WEB H264 SuccessfulCrab,28ef04ba82eab344ac945b96c62859a487f594a9,1794,203798,60398
443bfae080088453850fa5b8ab0d712dba113005,Sunny,1,8,downloading,magnet:?xt=urn:btih:443BFAE080088453850FA5B8AB0D712DBA113005&dn=Sunny+S01E08+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 21 Aug 2024 02:20:06 +0000",New episode: Sunny S01E08 1080p WEB H264 SuccessfulCrab,1080p,H264,WEB,,Sunny S01E08 1080p WEB H264 SuccessfulCrab,fecd7a0fcd9e1a3fb3e4fc8514422794f5cf7185,1794,203631,60398
3e325d647c52665bdedc39be101d0113e8e578be,Last Week Tonight With John Oliver,11,21,downloading,magnet:?xt=urn:btih:3E325D647C52665BDEDC39BE101D0113E8E578BE&dn=Last+Week+Tonight+with+John+Oliver+S11E21+1080p+WEB+H264+Success&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Mon, 19 Aug 2024 04:30:07 +0000",New episode: Last Week Tonight with John Oliver S11E21 1080p WEB H264 Success,1080p,H264,WEB,,Last Week Tonight with John Oliver S11E21 1080p WEB H264 Success,2f9228480872804067b0b237a761694315aae2bc,45,203609,263
6c478486c5972e2524bdfc18c4fd672e33724793,Last Week Tonight With John Oliver,11,20,downloading,magnet:?xt=urn:btih:6C478486C5972E2524BDFC18C4FD672E33724793&dn=Last+Week+Tonight+with+John+Oliver+S11E20+1080p+WEB+H264+Success&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Mon, 12 Aug 2024 04:20:09 +0000",New episode: Last Week Tonight with John Oliver S11E20 1080p WEB H264 Success,1080p,H264,WEB,,Last Week Tonight with John Oliver S11E20 1080p WEB H264 Success,92266c606d5f4dd2eaedd29e238f37ecc2e5446c,45,203488,263
c0073e3cdb32043cda5e43c23245a3ca3c9560d5,Sunny,1,6,downloading,magnet:?xt=urn:btih:C0073E3CDB32043CDA5E43C23245A3CA3C9560D5&dn=Sunny+S01E06+1080p+WEB+h264+ETHEL&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 07 Aug 2024 02:20:11 +0000",New episode: Sunny S01E06 1080p WEB h264 ETHEL,1080p,h264,WEB,,Sunny S01E06 1080p WEB h264 ETHEL,18529bdea3408d7f804e7a1bf8a2b0881ba70295,1794,203406,60398
c1091701ae90b79a7b22da8ad805e7385c58f2a6,House of the Dragon,2,8,downloading,magnet:?xt=urn:btih:C1091701AE90B79A7B22DA8AD805E7385C58F2A6&dn=House+of+the+Dragon+S02E08+1080p+WEB+h264+ETHEL&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Mon, 05 Aug 2024 02:20:12 +0000",New episode: House of the Dragon S02E08 1080p WEB h264 ETHEL,1080p,h264,WEB,,House of the Dragon S02E08 1080p WEB h264 ETHEL,e9056de545d04fe861db3523dd065dce99ebce2c,1586,203381,44778
a5935c430ece57c4c23b25a0c9e2297e0904c14d,Sesame Street,54,35,downloading,magnet:?xt=urn:btih:A5935C430ECE57C4C23B25A0C9E2297E0904C14D&dn=Sesame+Street+S54E35+Prairie+Dawns+Cookie+Party+1080p+MAX+WEB+DL+DDP5+1+x264+LAZ&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 31 Jul 2024 03:40:14 +0000",New episode: Sesame Street S54E35 Prairie Dawns Cookie Party 1080p MAX WEB DL DDP5 1 x264 LAZ,1080p,x264,MAX,,Sesame Street S54E35 Prairie Dawns Cookie Party 1080p MAX WEB DL DDP5 1 x264 LAZ,8bf334dd64eae31b20716084b1a3f40e04700567,605,203274,6544
b686bd9aed672a59953a164e756c5fce4980605c,Sesame Street,54,27,downloading,magnet:?xt=urn:btih:B686BD9AED672A59953A164E756C5FCE4980605C&dn=Sesame+Street+S54E27+The+Tasty+Transport+1080p+MAX+WEB+DL+DDP5+1+x264+LAZY&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 31 Jul 2024 03:40:13 +0000",New episode: Sesame Street S54E27 The Tasty Transport 1080p MAX WEB DL DDP5 1 x264 LAZY,1080p,x264,MAX,,Sesame Street S54E27 The Tasty Transport 1080p MAX WEB DL DDP5 1 x264 LAZY,7fbc8d5d6800ab08eb5d82279f265afe93573272,605,203273,6544
fdd4ccd0936beeff82fa85a462575ea3f2446faa,Sesame Street,54,30,downloading,magnet:?xt=urn:btih:FDD4CCD0936BEEFF82FA85A462575EA3F2446FAA&dn=Sesame+Street+S54E30+Elmo+Visits+the+Library+1080p+MAX+WEB+DL+DDP5+1+x264+LAZY&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 31 Jul 2024 03:40:13 +0000",New episode: Sesame Street S54E30 Elmo Visits the Library 1080p MAX WEB DL DDP5 1 x264 LAZY,1080p,x264,MAX,,Sesame Street S54E30 Elmo Visits the Library 1080p MAX WEB DL DDP5 1 x264 LAZY,872300f2777ea1890ea4fc1e3814fb4a9aab412c,605,203272,6544
