hash,tv_show_name,season,episode,status,magnet_link,published_timestamp,summary,resolution,video_codec,upload_type,audio_codec,raw_title,feed_id,tv_show_id,tv_episode_id,tv_external_id
b1a8045df63fa9a6b78886ca9fe5f5f0dcbc4842,Sesame Street,54,19,downloading,magnet:?xt=urn:btih:B1A8045DF63FA9A6B78886CA9FE5F5F0DCBC4842&dn=Sesame+Street+S54E19+Bert+and+Ernies+Opposite+Day+1080p+MAX+WEB+DL+DDP5+1+x264+L&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 31 Jul 2024 03:10:13 +0000",New episode: Sesame Street S54E19 Bert and Ernies Opposite Day 1080p MAX WEB DL DDP5 1 x264 L,1080p,x264,MAX,,Sesame Street S54E19 Bert and Ernies Opposite Day 1080p MAX WEB DL DDP5 1 x264 L,2093b59f2d7b88f74271969336cebcb4bcf5c68a,605,203269,6544
9f230b30d3272654a420b3172de90575fefc1177,Sesame Street,54,15,downloading,magnet:?xt=urn:btih:9F230B30D3272654A420B3172DE90575FEFC1177&dn=Sesame+Street+S54E15+Elmo+Helps+the+Amazing+Zero+1080p+MAX+WEB+DL+DDP5+1+x264+LA&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 31 Jul 2024 02:40:13 +0000",New episode: Sesame Street S54E15 Elmo Helps the Amazing Zero 1080p MAX WEB DL DDP5 1 x264 LA,1080p,x264,MAX,,Sesame Street S54E15 Elmo Helps the Amazing Zero 1080p MAX WEB DL DDP5 1 x264 LA,ca04a3369bfc09e27fb0219f9301e6fe40d3e7d6,605,203266,6544
460a58a23c0fd34dd852ea23db04e9446f42630c,Sesame Street,54,10,downloading,magnet:?xt=urn:btih:460A58A23C0FD34DD852EA23DB04E9446F42630C&dn=Sesame+Street+S54E10+Supermarket+Games+1080p+MAX+WEB+DL+DDP5+1+x264+LAZY&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 31 Jul 2024 02:40:13 +0000",New episode: Sesame Street S54E10 Supermarket Games 1080p MAX WEB DL DDP5 1 x264 LAZY,1080p,x264,MAX,,Sesame Street S54E10 Supermarket Games 1080p MAX WEB DL DDP5 1 x264 LAZY,8c2defb7e995d2d16fe84e192b1a5b0ffa803985,605,203265,6544
4083f4a20ffad0262f39d0d38d565f38c9a2f642,Sesame Street,54,11,downloading,magnet:?xt=urn:btih:4083F4A20FFAD0262F39D0D38D565F38C9A2F642&dn=Sesame+Street+S54E11+Sesame+Street+Song+Day+1080p+MAX+WEB+DL+DDP5+1+x264+LAZY&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 31 Jul 2024 02:40:13 +0000",New episode: Sesame Street S54E11 Sesame Street Song Day 1080p MAX WEB DL DDP5 1 x264 LAZY,1080p,x264,MAX,,Sesame Street S54E11 Sesame Street Song Day 1080p MAX WEB DL DDP5 1 x264 LAZY,caaeabf30060aab7261666a3dc495b8539db0565,605,203264,6544
fdb8456cf1a80123487f20097ddd62ac4dd41278,Sesame Street,54,7,downloading,magnet:?xt=urn:btih:FDB8456CF1A80123487F20097DDD62AC4DD41278&dn=Sesame+Street+S54E07+Worms+Want+to+Play+1080p+MAX+WEB+DL+DDP5+1+x264+LAZY&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 31 Jul 2024 02:40:13 +0000",New episode: Sesame Street S54E07 Worms Want to Play 1080p MAX WEB DL DDP5 1 x264 LAZY,1080p,x264,MAX,,Sesame Street S54E07 Worms Want to Play 1080p MAX WEB DL DDP5 1 x264 LAZY,5a626f9993582d10df2bf1c8245fcb8257ff053f,605,203263,6544
4bd21e5f33b9bd04920b6e90ebd446ad74a364bf,Sunny,1,5,downloading,magnet:?xt=urn:btih:4BD21E5F33B9BD04920B6E90EBD446AD74A364BF&dn=Sunny+S01E05+1080p+WEB+h264+ETHEL&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 31 Jul 2024 02:20:13 +0000",New episode: Sunny S01E05 1080p WEB h264 ETHEL,1080p,h264,WEB,,Sunny S01E05 1080p WEB h264 ETHEL,889df925f44284baedd6e049ba7905ef81eca94b,1794,203262,60398
00081320faf435cf0467feab7c8faeafe7e09606,Last Week Tonight With John Oliver,11,18,downloading,magnet:?xt=urn:btih:00081320FAF435CF0467FEAB7C8FAEAFE7E09606&dn=Last+Week+Tonight+with+John+Oliver+S11E18+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Mon, 29 Jul 2024 04:40:13 +0000",New episode: Last Week Tonight with John Oliver S11E18 1080p WEB H264 SuccessfulCrab,1080p,H264,WEB,,Last Week Tonight with John Oliver S11E18 1080p WEB H264 SuccessfulCrab,cd82822436ea3830f2200c6e0dc6f989f471035f,45,203225,263
c2bde26d547ed8329c65b178de16db5be8d4a2da,House of the Dragon,2,7,downloading,magnet:?xt=urn:btih:C2BDE26D547ED8329C65B178DE16DB5BE8D4A2DA&dn=House+of+the+Dragon+S02E07+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Mon, 29 Jul 2024 02:20:14 +0000",New episode: House of the Dragon S02E07 1080p WEB H264 SuccessfulCrab,1080p,H264,WEB,,House of the Dragon S02E07 1080p WEB H264 SuccessfulCrab,5e7dfaa2bfe61a37e47527911c2f3e9061e0a285,1586,203221,44778
86d269cba1f855a467c6628993cff06fa8506f5b,Sesame Street,54,18,downloading,magnet:?xt=urn:btih:86D269CBA1F855A467C6628993CFF06FA8506F5B&dn=Sesame+Street+S54E18+Tamirs+Water+Works+1080p+AMZN+WEB+DL+AAC5+1+H+264+NTb&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Sat, 27 Jul 2024 06:40:13 +0000",New episode: Sesame Street S54E18 Tamirs Water Works 1080p AMZN WEB DL AAC5 1 H 264 NTb,1080p,H 264,AMZN,,Sesame Street S54E18 Tamirs Water Works 1080p AMZN WEB DL AAC5 1 H 264 NTb,fbd3844189ae9c41a38d574d7d02d95110b44db8,605,203192,6544
98ac4f372f729e23ed453349053a969600c60164,Sesame Street,54,28,downloading,magnet:?xt=urn:btih:98AC4F372F729E23ED453349053A969600C60164&dn=Sesame+Street+S54E28+Tamir+Learns+Tagalog+1080p+AMZN+WEB+DL+AAC5+1+H+264+NTb&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Sat, 27 Jul 2024 06:40:13 +0000",New episode: Sesame Street S54E28 Tamir Learns Tagalog 1080p AMZN WEB DL AAC5 1 H 264 NTb,1080p,H 264,AMZN,,Sesame Street S54E28 Tamir Learns Tagalog 1080p AMZN WEB DL AAC5 1 H 264 NTb,2f961cc2a7a78c04f7fd8e6907938eeb84b5de14,605,203191,6544
3d49831a9bd6388b909451454db672d1b77d5b61,Sesame Street,54,20,downloading,magnet:?xt=urn:btih:3D49831A9BD6388B909451454DB672D1B77D5B61&dn=Sesame+Street+S54E20+Our+Family+Musical+1080p+AMZN+WEB+DL+AAC5+1+H+264+NTb&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Sat, 27 Jul 2024 06:40:13 +0000",New episode: Sesame Street S54E20 Our Family Musical 1080p AMZN WEB DL AAC5 1 H 264 NTb,1080p,H 264,AMZN,,Sesame Street S54E20 Our Family Musical 1080p AMZN WEB DL AAC5 1 H 264 NTb,31a4f8fd0cd625ae2ffc769e4cfeb70f3e9c0188,605,203190,6544
e60698b29493145aeaadad928901f1bc9b620ce8,Sesame Street,54,31,downloading,magnet:?xt=urn:btih:E60698B29493145AEAADAD928901F1BC9B620CE8&dn=Sesame+Street+S54E31+Elmo+Goes+Down+the+Big+Slide+1080p+AMZN+WEB+DL+AAC5+1+H+264&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Sat, 27 Jul 2024 06:40:13 +0000",New episode: Sesame Street S54E31 Elmo Goes Down the Big Slide 1080p AMZN WEB DL AAC5 1 H 264,1080p,H 264,AMZN,,Sesame Street S54E31 Elmo Goes Down the Big Slide 1080p AMZN WEB DL AAC5 1 H 264,b6f68c221be7c79e0bad1edcdfdcdf1858bfdd75,605,203189,6544
45ce6ea4379e014a7df550112e6211383139be10,Sesame Street,54,8,downloading,magnet:?xt=urn:btih:45CE6EA4379E014A7DF550112E6211383139BE10&dn=Sesame+Street+S54E08+Elmos+Morning+Routine+1080p+AMZN+WEB+DL+AAC5+1+H+264+NTb&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Sat, 27 Jul 2024 06:40:13 +0000",New episode: Sesame Street S54E08 Elmos Morning Routine 1080p AMZN WEB DL AAC5 1 H 264 NTb,1080p,H 264,AMZN,,Sesame Street S54E08 Elmos Morning Routine 1080p AMZN WEB DL AAC5 1 H 264 NTb,8e41f1bd340bc09d9e3291b1d0429d29836d9c89,605,203188,6544
00593d25b54b8080eae400dcd90aa23e7e413a77,Sunny,1,4,downloading,magnet:?xt=urn:btih:00593D25B54B8080EAE400DCD90AA23E7E413A77&dn=Sunny+S01E04+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 24 Jul 2024 02:20:16 +0000",New episode: Sunny S01E04 1080p WEB H264 SuccessfulCrab,1080p,H264,WEB,,Sunny S01E04 1080p WEB H264 SuccessfulCrab,0addbe6a81348de24e21db2b73b6c8f7c0d52410,1794,203097,60398
e6367e222cd1b444b612d0d37dde676de425862f,Presumed Innocent,1,8,downloading,magnet:?xt=urn:btih:E6367E222CD1B444B612D0D37DDE676DE425862F&dn=Presumed+Innocent+S01E08+1080p+WEB+H264+SuccessfulCrab&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Wed, 24 Jul 2024 02:20:16 +0000",New episode: Presumed Innocent S01E08 1080p WEB H264 SuccessfulCrab,1080p,H264,WEB,,Presumed Innocent S01E08 1080p WEB H264 SuccessfulCrab,472e6f45f08bb19956b6e9d7b0ce094c3c4a4da5,1788,203096,60310
080e3d663a6c81e3a25f95005cc8693c3d516262,Last Week Tonight With John Oliver,11,17,downloading,magnet:?xt=urn:btih:080E3D663A6C81E3A25F95005CC8693C3D516262&dn=Last+Week+Tonight+with+John+Oliver+S11E17+1080p+WEB+H264+Success&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Mon, 22 Jul 2024 04:20:17 +0000",New episode: Last Week Tonight with John Oliver S11E17 1080p WEB H264 Success,1080p,H264,WEB,,Last Week Tonight with John Oliver S11E17 1080p WEB H264 Success,4569b959088c7c16e2238f1786c10df9caa9584c,45,203032,263
57a31a32d201e82b319ba250d1837a6fea32ed9a,House of the Dragon,2,6,downloading,magnet:?xt=urn:btih:57A31A32D201E82B319BA250D1837A6FEA32ED9A&dn=House+of+the+Dragon+S02E06+1080p+WEB+h264+ETHEL&tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&tr=udp%3A%2F%2Fexplodie.org%3A6969&tr=udp%3A%2F%2F9.rarbg.me%3A2960&tr=udp%3A%2F%2F9.rarbg.to%3A2980,"Mon, 22 Jul 2024 02:20:17 +0000",New episode: House of the Dragon S02E06 1080p WEB h264 ETHEL,1080p,h264,WEB,,House of the Dragon S02E06 1080p WEB h264 ETHEL,0ca181db06479bb2959d0b4744e92be21f06e10b,1586,203030,44778
